Country;Country Code;International Prefix;National Prefix
Netherlands;31;0;0
New Caledonia;687;0;...
New Zealand;64;0;0
Nicaragua;505;0;...
Niger;227;0;...
Nigeria;234;9;0
Niue;683;0;...
Northern Marianas;1;11;1
Norway;47;0;...
Oman;968;0;...
Pakistan;92;0;0
Palau;680;11;...
Panama;507;0;...
Papua New Guinea;675;0;...
Paraguay;595;0;0
Peru;51;0;0
Philippines;63;0;0
Poland;48;0;0
Portugal;351;0;...
Puerto Rico;1;11;1
Qatar;974;0;...
Romania;40;0;0
Russian Federation;7;810;8
Rwanda;250;0;...
Saint Helena, Ascension and Tristan da Cunha;247;0;...
Saint Helena, Ascension and Tristan da Cunha;290;0;...
Saint Kitts and Nevis;1;11;1
Saint Lucia;1;11;1
Saint Pierre and Miquelon;508;0;...
Saint Vincent and the Grenadines;1;11;1
Samoa;685;0;...
San Marino;378;0;...
Sao Tome and Principe;239;0;...
Saudi Arabia;966;0;0
Senegal;221;0;...
Serbia;381;0;0
Seychelles;248;0;...
Sierra Leone;232;0;0
Singapore;65;001.008;...
Sint Maarten (Dutch part);1;11;1
Slovakia;421;0;0
Slovenia;386;0;0
Solomon Islands;677;0;...
Somalia;252;0;...
South Africa;27;0;0
South Sudan;211;0;0
Spain;34;0;...
Sri Lanka;94;0;0
Sudan;249;0;0
Suriname;597;0;0
Swaziland;268;0;...
Sweden;46;0;0
Switzerland;41;0;0
Syrian Arab Republic;963;0;0
Taiwan, China;886;2;0
Tajikistan;992;810;8
Tanzania;255;0;0
Telecommunications for Disaster Relief (TDR);888; ; 
Thailand;66;1;0
The Former Yugoslav Republic of Macedonia;389;0;0
Timor-Leste;670;0;...
Togo;228;0;...
Tokelau;690;0;...
Tonga;676;0;...
Trial of a proposed new international service;991; ; 
Trinidad and Tobago;1;11;1
Tunisia;216;0;...
Turkey;90;0;0
Turkmenistan;993;810;8
Turks and Caicos Islands;1;0;1
Tuvalu;688;0;...
Uganda;256;0;0
Ukraine;380;0;0
United Arab Emirates;971;0;0
United Kingdom;44;0;0
United States;1;11;1
United States Virgin Islands;1;11;1
Universal Personal Telecommunication (UPT);878; ; 
Uruguay;598;0;0
Uzbekistan;998;810;8
Vanuatu;678;0;...
Vatican;379;...; 
Vatican;39;0;...
Venezuela (Bolivarian Republic of);58;0;0
Viet Nam;84;0;0
Wallis and Futuna;681;0;...
Yemen;967;0;0
Zambia;260;0;0
Zimbabwe;263;0;0
Reserved;970; ; 
